ID_ENTIDAD,ENTIDAD,TOTAL_CONSERVACION,PROGRAMA_CONSERVACION
9,CIUDAD DE MEXICO,129436333.41,Estudios y/o Proyectos 
9,CIUDAD DE MEXICO,109148272.0,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,49970811.76,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,85144638.22,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,24157274.76,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,72732022.42,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,23300706.19,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,89823407.39,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,6153455.82,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,47976165.51,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,28546973.54,Programa Asociación Público Privada de Conservación
1,AGUASCALIENTES,5529570.08,Reconstrucción
1,AGUASCALIENTES,4813722.36,Conservación Periódica
1,AGUASCALIENTES,1611081.71,Conservación Periódica
1,AGUASCALIENTES,25749999.7,Conservación Periódica
1,AGUASCALIENTES,29939999.4,Conservación Periódica
1,AGUASCALIENTES,29939831.76,Conservación Periódica
1,AGUASCALIENTES,32680351.62,Conservación Periódica
1,AGUASCALIENTES,11149998.46,Conservación Periódica
1,AGUASCALIENTES,54280.54,Conservación Periódica
1,AGUASCALIENTES,139735.51,Conservación Periódica
1,AGUASCALIENTES,757544.47,Conservación Periódica
1,AGUASCALIENTES,2424266.64,Conservación Periódica
1,AGUASCALIENTES,4574551.0,Conservación Periódica
1,AGUASCALIENTES,5228456.57,Conservación Periódica
1,AGUASCALIENTES,25285138.4,Conservación Rutinaria
1,AGUASCALIENTES,6583760.76,Conservación Rutinaria
1,AGUASCALIENTES,6243336.48,Conservación Rutinaria
1,AGUASCALIENTES,6098134.71,Conservación Rutinaria
1,AGUASCALIENTES,6359906.45,Conservación Rutinaria
1,AGUASCALIENTES,288194.25,Conservación Rutinaria
1,AGUASCALIENTES,740615.11,Conservación Rutinaria
1,AGUASCALIENTES,356408.94,Conservación Rutinaria
1,AGUASCALIENTES,72944.11,Conservación Rutinaria
1,AGUASCALIENTES,2406653.38,Conservación Rutinaria
1,AGUASCALIENTES,11937169.32,Señalamiento
1,AGUASCALIENTES,5114049.43,Señalamiento
1,AGUASCALIENTES,6823119.89,Señalamiento
1,AGUASCALIENTES,1610939.47,Señalamiento
1,AGUASCALIENTES,4594196.22,Señalamiento
1,AGUASCALIENTES,3732587.79,Conservación Rutinaria
1,AGUASCALIENTES,3964210.81,Otros Subprogramas
1,AGUASCALIENTES,2028913.54,Otros Subprogramas
2,BAJA CALIFORNIA,7783836.2,Reconstrucción
2,BAJA CALIFORNIA,11255261.9,Reconstrucción
2,BAJA CALIFORNIA,465702.09,Reconstrucción
2,BAJA CALIFORNIA,7996962.05,Conservación Periódica
2,BAJA CALIFORNIA,27430590.35,Conservación Periódica
2,BAJA CALIFORNIA,23664691.47,Conservación Periódica
2,BAJA CALIFORNIA,11486904.55,Conservación Periódica
2,BAJA CALIFORNIA,23363832.57,Conservación Periódica
2,BAJA CALIFORNIA,24958387.83,Conservación Periódica
2,BAJA CALIFORNIA,2265758.46,Conservación Periódica
2,BAJA CALIFORNIA,13788212.69,Conservación Periódica
