ID_ENTIDAD,ANIO,Total_accidentes,CAUSAACCI_Conductor,CAUSAACCI_Mala condición del camino,CAUSAACCI_Otra,CLASACC_Fatal,CLASACC_No fatal,CLASACC_Sólo daños,Presupuesto,Entidad
1,2017,14966,14272,362,332,894,4102,9970,1230564370,Aguascalientes
1,2018,17592,16726,480,386,914,4431,12247,763497156,Aguascalientes
1,2019,16757,16075,516,166,837,4509,11411,698139978,Aguascalientes
1,2020,15057,14448,441,168,775,3971,10311,801262825,Aguascalientes
1,2021,17476,16738,513,225,859,4741,11876,619602783,Aguascalientes
2,2017,14966,14272,362,332,894,4102,9970,1570031154,Baja California
2,2018,17592,16726,480,386,914,4431,12247,9730725095,Baja California
2,2019,16757,16075,516,166,837,4509,11411,6664542845,Baja California
2,2020,15057,14448,441,168,775,3971,10311,1443654047,Baja California
2,2021,17476,16738,513,225,859,4741,11876,2622630589,Baja California
3,2017,14966,14272,362,332,894,4102,9970,1201590701,Baja California Sur
3,2018,17592,16726,480,386,914,4431,12247,2032211730,Baja California Sur
3,2019,16757,16075,516,166,837,4509,11411,1474567507,Baja California Sur
3,2020,15057,14448,441,168,775,3971,10311,1102611193,Baja California Sur
3,2021,17476,16738,513,225,859,4741,11876,937524627,Baja California Sur
4,2017,14966,14272,362,332,894,4102,9970,105920604960,Campeche
4,2018,17592,16726,480,386,914,4431,12247,92634515442,Campeche
4,2019,16757,16075,516,166,837,4509,11411,89364091716,Campeche
4,2020,15057,14448,441,168,775,3971,10311,167022332994,Campeche
4,2021,17476,16738,513,225,859,4741,11876,170554682448,Campeche
5,2017,14966,14272,362,332,894,4102,9970,1764773023,Coahuila de Zaragoza
5,2018,17592,16726,480,386,914,4431,12247,2094854701,Coahuila de Zaragoza
5,2019,16757,16075,516,166,837,4509,11411,11314959253,Coahuila de Zaragoza
5,2020,15057,14448,441,168,775,3971,10311,5078344488,Coahuila de Zaragoza
5,2021,17476,16738,513,225,859,4741,11876,1812974402,Coahuila de Zaragoza
6,2017,14966,14272,362,332,894,4102,9970,740663349,Colima
6,2018,17592,16726,480,386,914,4431,12247,898703113,Colima
6,2019,16757,16075,516,166,837,4509,11411,880445659,Colima
6,2020,15057,14448,441,168,775,3971,10311,628087453,Colima
6,2021,17476,16738,513,225,859,4741,11876,778436351,Colima
7,2017,14966,14272,362,332,894,4102,9970,18862545588,Chiapas
7,2018,17592,16726,480,386,914,4431,12247,16857348106,Chiapas
7,2019,16757,16075,516,166,837,4509,11411,16724549508,Chiapas
7,2020,15057,14448,441,168,775,3971,10311,19883055289,Chiapas
7,2021,17476,16738,513,225,859,4741,11876,24557014449,Chiapas
8,2017,14966,14272,362,332,894,4102,9970,2721150620,Chihuahua
8,2018,17592,16726,480,386,914,4431,12247,2987529745,Chihuahua
8,2019,16757,16075,516,166,837,4509,11411,2859344186,Chihuahua
8,2020,15057,14448,441,168,775,3971,10311,2479778252,Chihuahua
8,2021,17476,16738,513,225,859,4741,11876,2678139066,Chihuahua
9,2017,14966,14272,362,332,894,4102,9970,42290225860,Ciudad de México
9,2018,17592,16726,480,386,914,4431,12247,37346399033,Ciudad de México
9,2019,16757,16075,516,166,837,4509,11411,75528167216,Ciudad de México
